date,close,high,low,open,volume,coin,daily_return,log_return,ma_7,ma_30,ma_90,volatility_7d,volatility_30d,bb_upper,bb_lower,bb_mid,daily_range
2022-03-31,45538.67578125,47512.02734375,45390.5390625,47062.1484375,33327427106,BTC,-0.03238210822970233,-0.03291800954258311,46123.58928571428,41886.62421875,41298.64144965278,0.025244942816221597,0.03286934782714187,48680.52603775823,36944.47161849176,42812.498828125,2121.48828125
2022-04-01,46281.64453125,46616.2421875,44403.140625,45554.1640625,38162644287,BTC,0.016315115388267687,0.016183454010017757,46399.71986607143,41965.20846354167,41283.02847222222,0.025574918430453494,0.032909461880523745,48941.45188572845,37421.309051771554,43181.38046875,2213.1015625
2022-04-02,45868.94921875,47028.28125,45782.51171875,46285.5,29336594194,BTC,-0.008917040798352427,-0.008957035540670266,46595.165736607145,42079.11380208333,41266.625477430556,0.026230476533913416,0.03228756629659655,48877.38485244249,38287.30460068251,43582.3447265625,1245.76953125
2022-04-03,46453.56640625,47313.4765625,45634.10546875,45859.12890625,25414397610,BTC,0.012745379989237415,0.012664841243046981,46542.747767857145,42322.979166666664,41266.57491319445,0.016913259275818812,0.028444736921783138,49026.6243110617,38816.746392063294,43921.6853515625,1679.37109375
2022-04-04,46622.67578125,46791.08984375,45235.81640625,46445.2734375,32499785455,BTC,0.003640395949819908,0.0036337857461326666,46470.55803571428,42563.715494791664,41274.63159722222,0.016730158058916155,0.028448035557429713,49041.51986797429,39530.23989765071,44285.8798828125,1555.2734375
2022-04-05,45555.9921875,47106.140625,45544.80859375,46624.5078125,29640604055,BTC,-0.02287907280900814,-0.02314486060589607,46197.73828125,42801.582421875,41296.709244791666,0.017969132058973214,0.028375061607789406,49053.18915823162,39959.776857393386,44506.4830078125,1561.33203125
2022-04-06,43206.73828125,45544.35546875,43193.953125,45544.35546875,39393395788,BTC,-0.05156849392240015,-0.05294570510057487,45646.89174107143,42973.07239583333,41297.21822916667,0.02505835330149822,0.03015815092956806,48898.71943279544,40339.78252032956,44619.2509765625,2350.40234375
2022-04-07,43503.84765625,43860.69921875,42899.90625,43207.5,26101973106,BTC,0.006876459247305178,0.0068529242315328075,45356.20200892857,43131.958333333336,41318.83984375,0.024074667252949683,0.030060875594419136,48812.100945983046,40596.67014776695,44704.385546875,960.79296875
2022-04-08,42287.6640625,43903.01953125,42183.2890625,43505.13671875,27215995394,BTC,-0.02795577079433975,-0.028353972258937266,44785.63337053572,43142.11627604167,41324.99231770833,0.02294571521008146,0.026596692117488212,48804.66400977603,40613.80825584896,44709.2361328125,1719.73046875
2022-04-09,42782.13671875,42786.81640625,42183.25390625,42282.078125,16050772496,BTC,0.011693070951357853,0.011625235289932529,44344.66015625,43253.60546875,41334.664930555555,0.02474572845753716,0.0240085535568662,48659.86312472188,40912.04039090312,44785.9517578125,603.5625
