date,close,high,low,open,volume,coin,daily_return,log_return,ma_7,ma_30,ma_90,volatility_7d,volatility_30d,bb_upper,bb_lower,bb_mid,daily_range
2022-03-31,3281.642822265625,3435.12841796875,3272.9345703125,3385.289306640625,17685495686,ETH,-0.030579115649246424,-0.03105641221848376,3278.12158203125,2873.1375813802083,2935.2214653862848,0.02396406370178965,0.03229111067932883,3536.509498855096,2423.5506818089666,2980.0300903320312,162.19384765625
2022-04-01,3449.55224609375,3467.555908203125,3223.891357421875,3282.576171875,20982988937,ETH,0.051166270347545506,0.04990028142552588,3327.104561941964,2889.7853759765626,2931.6643012152776,0.028440401800964014,0.03334151398452198,3583.6324235887414,2463.907566645634,3023.7699951171876,243.66455078125
2022-04-02,3445.059326171875,3521.28466796875,3442.000244140625,3449.78857421875,23571556215,ETH,-0.0013024646682661123,-0.0013033136125988835,3370.2303292410716,2910.138387044271,2927.3920166015623,0.029139754372475245,0.03228001616179636,3606.8536016047374,2533.2978632390123,3070.075732421875,79.284423828125
2022-04-03,3522.83349609375,3573.960205078125,3421.259765625,3444.810546875,15333808649,ETH,0.022575567663241758,0.02232451100912061,3403.2668805803573,2940.32763671875,2924.741495768229,0.025677923244503034,0.028239116755528582,3639.9034963215927,2593.4617136393445,3116.6826049804686,152.700439453125
2022-04-04,3521.2412109375,3535.148193359375,3422.0009765625,3522.364990234375,18209969743,ETH,-0.0004519898990444915,-0.0004520920772690875,3429.6392647879466,2968.8746419270833,2921.710213216146,0.02589713351441029,0.028265201920703215,3659.497403796041,2663.976961438334,3161.7371826171875,113.147216796875
2022-04-05,3411.79248046875,3546.706787109375,3410.547607421875,3521.23974609375,16681503199,ETH,-0.031082429152761826,-0.03157573691482621,3431.0399344308034,2997.433146158854,2920.1702745225693,0.029014606248581126,0.02769120891503095,3667.6988586256743,2719.7491882493255,3193.7240234375,136.1591796875
2022-04-06,3171.69189453125,3411.672119140625,3171.205078125,3411.672119140625,25632563639,ETH,-0.07037373677091652,-0.07297264110082666,3400.5447823660716,3019.89716796875,2917.4289822048613,0.03972425702238249,0.030836077102245202,3651.1049660695567,2772.0268210398185,3211.5658935546876,240.467041015625
2022-04-07,3233.274658203125,3263.474609375,3155.5810546875,3172.197265625,16745496605,ETH,0.019416376407197067,0.0192302835457947,3393.6350446428573,3041.7814046223957,2917.874140082465,0.03960362830460547,0.03059956249732142,3647.270152019814,2804.6547991520615,3225.9624755859377,107.8935546875
2022-04-08,3192.073974609375,3301.607421875,3179.142333984375,3233.2724609375,17557050669,ETH,-0.012742710703286475,-0.01282459540711932,3356.8524344308034,3057.1910888671873,2918.986376953125,0.032114482718435804,0.029229365630377424,3639.046685236947,2837.459955388053,3238.2533203125,122.465087890625
2022-04-09,3261.916259765625,3261.963134765625,3187.46923828125,3191.97607421875,9908112156,ETH,0.02187990808226714,0.0216439781082326,3330.689139229911,3078.986678059896,2920.143763563368,0.034346725164592584,0.02777294740125247,3617.503872508977,2899.148471241023,3258.326171875,74.493896484375
