date,close,high,low,open,volume,coin,daily_return,log_return,ma_7,ma_30,ma_90,volatility_7d,volatility_30d,bb_upper,bb_lower,bb_mid,daily_range
2022-03-31,122.66146087646484,128.93011474609375,120.19783020019533,120.68155670166016,4115229587,SOL,0.016255041063320874,0.016124342323492573,109.86328887939453,93.05964075724283,107.72803268432617,0.03880052385600468,0.042477002685167735,121.34575790932732,70.34358306357308,95.8446704864502,8.732284545898423
2022-04-01,134.43093872070312,137.55841064453125,118.78791046142578,122.7361068725586,4434807484,SOL,0.09595090226498759,0.09162239031892062,114.97369384765625,94.18568420410156,107.23817706637912,0.03537730546313528,0.04537024298313897,128.3436964548814,68.63335661518695,98.48852653503418,18.77050018310547
2022-04-02,132.19886779785156,143.02001953125,132.13919067382812,134.45358276367188,3394186456,SOL,-0.016603848370715935,-0.016743237343982746,119.32150595528739,95.40767313639323,106.74724400838217,0.04254199619882917,0.04418770073829338,133.09261664203916,69.21071587749208,101.15166625976562,10.880828857421875
2022-04-03,136.77532958984375,140.26370239257812,131.2261505126953,132.24107360839844,2585967812,SOL,0.03461801048848745,0.034032286601703016,123.56309291294643,97.02531814575195,106.37477272881402,0.04213348923103863,0.041089282508929584,138.149022945179,69.71450854896162,103.93176574707032,9.037551879882812
2022-04-04,132.41262817382812,137.63351440429688,126.86532592773438,136.7607879638672,2828117206,SOL,-0.03189684447552288,-0.03241663175881299,127.26986040387835,98.45081100463867,105.98003633287217,0.04731906971921223,0.041990793589698906,141.37902228532852,71.43026345075545,106.40464286804199,10.7681884765625
2022-04-05,126.86223602294922,136.18284606933594,126.56397247314452,132.3878631591797,2239922210,SOL,-0.041917392830482014,-0.04282127595056141,129.4344209943499,99.86147944132487,105.66628638373481,0.054034242017031046,0.04119791081157597,143.3279664923937,73.37718029715708,108.35257339477539,9.61887359619142
2022-04-06,112.88338470458984,127.28115844726562,112.773681640625,126.8579559326172,3281009143,SOL,-0.11018922381149432,-0.11674644988503034,128.31783512660436,100.88659006754557,105.24908676147462,0.06512526694593361,0.046491509491521144,143.2592990477334,75.9465015809287,109.60290031433105,14.507476806640625
2022-04-07,118.79651641845705,119.76071166992188,111.95746612548828,112.93579864501952,2431083313,SOL,0.052382657814004974,0.051056791346215595,127.7657002040318,102.10464859008789,105.05346120198568,0.06867340862111423,0.04703152154564759,143.5990522809143,78.50419631527713,111.0516242980957,7.803245544433594
2022-04-08,109.8008804321289,122.25411987304688,108.5411605834961,118.81621551513672,2376864565,SOL,-0.07572306206893553,-0.07874353587082242,124.2471204485212,102.82460912068684,104.68998811509874,0.05736918663084139,0.048384301629582134,143.27977412682026,80.56174732703717,111.9207607269287,13.712959289550781
2022-04-09,112.97279357910156,113.1148910522461,108.63433837890624,109.79875946044922,1202250516,SOL,0.028887866240137283,0.028478477386302922,121.5005384172712,103.82573267618815,104.38036354912651,0.0611982545153503,0.046758076724799494,142.51594191189534,83.76137284640544,113.13865737915039,4.480552673339858
2022-04-10,111.74243927001952,115.8083267211914,110.0778350830078,112.97270965576172,1280232450,SOL,-0.010890713331086821,-0.010950451271305955,117.92441122872489,104.85898081461589,104.11133575439453,0.05660601164936814,0.04640841467705801,141.35682169008214,87.21901678037685,114.2879192352295,5.730491638183608
2022-04-11,99.33910369873048,111.83113861083984,98.6708526611328,111.69898986816406,2272498194,SOL,-0.11099932713404481,-0.11765728658892927,113.19962201799665,105.45182367960612,103.6575052049425,0.0650072164528368,0.05155516238993221,140.418748144179,89.03970369908272,114.72922592163086,13.160285949707045
2022-04-12,103.30638885498048,109.11756134033205,98.935302734375,99.38467407226562,2317008207,SOL,0.03993679234596015,0.03915993471588655,109.83450099400112,106.26416753133138,103.11976386176215,0.07131450022411413,0.05130473458824133,139.74871574997601,90.53010657668413,115.13941116333008,10.182258605957045
2022-04-13,105.00194549560548,105.67684936523438,100.48845672607422,103.28101348876952,1675840412,SOL,0.016412892362399623,0.016279656722662565,108.70858110700335,107.05845438639322,102.66411836412217,0.06205113289843687,0.051206241341939386,139.6104615383538,90.94618595310128,115.27832374572753,5.188392639160156
2022-04-14,100.70780181884766,107.3296356201172,99.25684356689452,104.94060516357422,1686576071,SOL,-0.04089584870537033,-0.04175560593455667,106.12447902134487,107.65021158854167,102.1591047498915,0.05655194163539525,0.051976308540238964,139.43386296035817,91.32775431869456,115.38080863952636,8.072792053222685
2022-04-15,101.30977630615234,102.67264556884766,100.10089874267578,100.70652770996094,1050639351,SOL,0.005977436468998842,0.005959642468757029,104.91146414620536,108.0970832824707,101.64253362019856,0.051824587336173185,0.051045757662651334,139.46609478798837,91.25008181723625,115.3580883026123,2.571746826171875
2022-04-16,102.25731658935548,103.27172088623048,100.9647216796875,101.29869079589844,774939305,SOL,0.009352900754017401,0.009309433199379455,103.38068171909877,108.57643229166666,101.13587578667534,0.04985597836251393,0.051034927096136384,139.66611022088856,90.56737595464855,115.11674308776855,2.306999206542983
2022-04-17,100.40969848632812,105.2945556640625,99.95817565917967,102.2484359741211,1057908299,SOL,-0.018068321804756704,-0.018233547187327302,101.76171875,108.92935434977214,100.69680565728082,0.049878808854532386,0.051133748962755465,139.95485125983805,89.67307919060143,114.81396522521973,5.336380004882827
2022-04-18,102.15853118896484,102.51702880859376,95.2427749633789,100.40795135498048,1846133932,SOL,0.01741696996406028,0.01726703300406503,102.16449410574776,109.25403366088867,100.25870946248372,0.02633157178792436,0.050991445309253834,140.08115690300417,88.59159547736692,114.33637619018555,7.274253845214858
2022-04-19,108.58203125,108.58203125,101.30172729492188,102.20238494873048,1711909607,SOL,0.06287776445369464,0.06098010164123652,102.91815730503627,109.9196060180664,99.95637215508356,0.03226474959357504,0.05130749601268842,139.41503463928154,88.0459722882087,113.73050346374512,7.280303955078125
2022-04-20,105.49700164794922,110.72297668457033,104.7726593017578,108.6021957397461,1761531528,SOL,-0.0284119717280642,-0.028823403593333914,102.98887961251395,110.4775993347168,99.71516901652018,0.03458473831386089,0.05172927509821212,138.4471429217518,87.29741808288688,112.87228050231934,5.950317382812528
2022-04-21,101.77613830566406,109.76532745361328,100.76715087890624,105.49767303466795,1838571747,SOL,-0.035269849229477956,-0.03590685325596066,103.14149911063058,110.8530382792155,99.60194769965278,0.03349212671028785,0.0522374485178966,135.13352285496129,87.34555810817349,111.23954048156739,8.998176574707045
2022-04-22,100.61205291748048,103.4981460571289,99.57942962646484,101.7574234008789,1274793594,SOL,-0.011437704432128104,-0.011503618055823941,103.04182434082033,111.0366839090983,99.67343309190538,0.033791365150921744,0.051601129342864045,131.83484204307013,87.48555743202752,109.66019973754882,3.9187164306640625
2022-04-23,100.74443817138672,102.77123260498048,98.78157043457033,100.61978149414062,823252482,SOL,0.0013157991519645584,0.0013149342468715293,102.82569885253906,110.987375386556,99.68639102511936,0.03353613829129498,0.04979289144567857,126.2977120960555,89.41959823719645,107.85865516662598,3.9896621704101562
2022-04-24,99.2357940673828,102.21668243408205,99.00851440429688,100.72718811035156,818266008,SOL,-0.014974961708927426,-0.015088218548275089,102.65799822126117,111.0066317240397,99.77067582872179,0.03330336794901353,0.04943332508872563,120.93548749731599,91.46413942529142,106.1998134613037,3.2081680297851705
2022-04-25,101.24763488769533,101.44058990478516,94.75575256347656,99.2414093017578,1538486689,SOL,0.020273338256823425,0.02007057007946608,102.52787017822266,110.98941345214844,99.84320119222005,0.033585963219031824,0.0492400289284929,116.12245132952475,93.71571547955728,104.91908340454101,6.684837341308594
2022-04-26,95.78215026855467,101.74248504638672,95.17789459228516,101.2248764038086,1301074534,SOL,-0.053981355961578825,-0.05549300183860701,100.6993157523019,110.61267776489258,99.88258014255099,0.02445988076727022,0.049247545160392696,115.31830032705797,92.80974303842054,104.06402168273925,6.5645904541015625
2022-04-27,98.37886810302734,100.54492950439452,95.28350067138672,95.7855224609375,1253566599,SOL,0.027110665475685858,0.026749681203165305,99.68243953159877,110.34313151041667,99.9797620985243,0.028925621009894716,0.04953775761820736,112.17445950377888,93.91181903015666,103.04313926696777,5.261428833007798
2022-04-28,98.18572998046876,100.40122985839844,96.69452667236328,98.38214874267578,1307131609,SOL,-0.0019632074070654593,-0.0019651370246336446,99.16952405657086,109.892312113444,100.05612691243489,0.026642095522355625,0.04860429939609184,111.2552205451805,93.66954294358904,102.46238174438477,3.7067031860351562
2022-04-29,94.01134490966795,98.56856536865234,92.88426971435548,98.1829605102539,1234575023,SOL,-0.04251519107339918,-0.04344542340400055,98.22656576974052,109.002707417806,100.03154754638672,0.030272928641053576,0.0464485449958766,109.59568500416977,93.43293361765642,101.51430931091309,5.684295654296861
2022-04-30,85.09593200683594,94.92884826660156,82.90953826904297,94.01355743408205,1293033765,SOL,-0.09483337262538383,-0.09963623358398388,95.9910648890904,107.75052312215169,99.9404170566135,0.043572405418252434,0.048876157723164615,109.80282383423533,90.56114406127249,100.1819839477539,12.019309997558594
